feature,borda_score,cox_ph_rank,response_classifier_rank
mut_KRAS,146.0,5,3
iss_3,142.0,11,1
cyto_high,135.0,1,18
PC35,133.0,16,5
ldh_scaled,131.0,14,9
PC3,126.0,8,20
PC50,124.0,20,10
PC24,122.0,19,13
PC39,120.0,30,4
PC28,115.0,27,12
PC1,114.0,24,16
PC37,111.0,9,34
tx_VCd,111.0,41,2
PC46,110.0,7,37
PC49,108.0,15,31
PC10,107.0,39,8
PC22,107.0,23,24
PC12,105.0,34,15
PC44,103.0,26,25
PC17,99.0,17,38
PC33,98.0,49,7
PC2,96.0,44,14
iss_ordinal,96.0,4,54
cyto_standard,96.0,2,56
PC21,94.0,54,6
PC19,93.0,38,23
PC6,89.0,32,33
PC30,89.0,18,47
PC38,88.0,13,53
PC7,84.0,35,35
PC13,82.0,29,43
PC29,81.0,46,27
mut_BRAF,80.0,3,71
iss_1,80.0,6,68
PC23,80.0,53,21
PC34,79.0,43,32
age_over_65,77.0,12,65
PC32,76.0,61,17
PC15,75.0,68,11
age_scaled,71.0,31,52
PC45,70.0,55,29
PC4,70.0,40,44
mut_TRAF3,69.0,10,75
PC40,68.0,60,26
PC41,67.0,28,59
PC8,65.0,50,39
PC48,65.0,25,64
cyto_unknown,63.0,22,69
mut_NRAS,63.0,21,70
PC18,62.0,64,28
