,0
iss_3,0.03307319
tx_VCd,0.029867526
mut_KRAS,0.028961983
PC39,0.023735967
PC35,0.021926846
PC21,0.020959323
PC33,0.020396374
PC10,0.019678408
ldh_scaled,0.01951543
PC50,0.018642018
PC15,0.018538957
PC28,0.018462937
PC24,0.018420689
PC2,0.017939644
PC12,0.017730583
PC1,0.017622776
PC32,0.017498994
cyto_high,0.017461086
PC11,0.0173415
PC3,0.01728387
PC23,0.017204028
PC36,0.01703017
PC19,0.016819289
PC22,0.016467582
PC44,0.01632694
PC40,0.016153513
PC29,0.015955439
PC18,0.015847644
PC45,0.015772138
PC27,0.015512837
PC49,0.015487942
PC34,0.015271998
PC6,0.01523958
PC37,0.014978492
PC7,0.014463101
PC42,0.014385736
PC46,0.013876465
PC17,0.013710771
PC8,0.013669976
PC9,0.013547685
PC5,0.012625497
PC43,0.0125828
PC13,0.012532628
PC4,0.01247148
albumin_scaled,0.0122342035
PC20,0.012115734
PC30,0.012016093
tx_Rd,0.011910219
PC16,0.011902445
PC25,0.011818781
tx_DRd,0.010905168
age_scaled,0.010848266
PC38,0.01080706
iss_ordinal,0.010622649
tx_VRd,0.010407388
cyto_standard,0.010320584
beta2_microglobulin_scaled,0.009986109
iss_2,0.009635045
PC41,0.009513136
PC14,0.009457753
PC26,0.009149339
PC47,0.009076306
PC31,0.007871855
PC48,0.007353218
age_over_65,0.0062434417
tx_KRd,0.00591279
sex_male,0.0034898554
iss_1,0.0034107508
cyto_unknown,0.0
mut_NRAS,0.0
mut_BRAF,0.0
mut_TP53,0.0
mut_FAM46C,0.0
mut_DIS3,0.0
mut_TRAF3,0.0
mut_RB1,0.0
