feature,mean_abs_shap
PC24,0.41057464
PC21,0.35949272
PC15,0.34549737
PC12,0.29219562
PC29,0.27564862
PC20,0.27125663
PC39,0.22587721
PC33,0.2131015
PC43,0.20982702
PC36,0.20397127
PC32,0.20297995
PC28,0.20169756
PC27,0.19225296
cyto_standard,0.18918465
PC7,0.18649442
PC50,0.17956497
PC14,0.17481607
PC34,0.17460135
PC11,0.17175579
PC16,0.16847116
PC49,0.16709445
PC3,0.16620038
PC5,0.15590942
PC23,0.14623934
PC18,0.14022112
iss_3,0.13093871
age_scaled,0.13082032
PC42,0.12918137
PC22,0.12315138
PC35,0.11969991
PC17,0.11833793
PC31,0.11816792
PC19,0.10455397
PC30,0.10126155
PC13,0.09906147
PC10,0.085538104
PC8,0.08345916
PC2,0.07802115
ldh_scaled,0.07695308
beta2_microglobulin_scaled,0.07655999
mut_KRAS,0.07451951
albumin_scaled,0.07443497
PC25,0.07225776
PC6,0.07135801
PC38,0.06755452
PC45,0.06441995
PC46,0.059918333
PC4,0.059767075
PC1,0.0597122
PC44,0.059523687
